1. 02.10.1999 16,11,88,32,25,0,70,78,73,61,90,89,46,95,6,33,34,21,14,22
2. 09.10.1999 76,63,18,44,84,11,55,93,8,29,82,62,17,64,24,14,37,97,49,51
3. 16.10.1999 34,8,10,11,99,28,67,20,55,74,45,48,85,91,79,57,47,22,17,54
4. 23.10.1999 14,67,12,55,25,60,51,30,41,35,78,83,93,64,98,39,44,49,5,63
5. 30.10.1999 39,32,65,8,51,42,17,92,43,71,28,73,98,69,59,54,20,87,99,0
6. 06.11.1999 48,12,24,76,33,58,27,13,93,42,35,74,17,72,73,47,75,30,20,80
7. 13.11.1999 97,19,94,23,85,39,50,59,46,45,99,36,70,64,92,3,56,18,6,73
8. 20.11.1999 19,41,26,65,47,75,5,94,10,0,59,33,99,57,84,11,74,83,7,53
9. 27.11.1999 73,36,21,98,30,17,70,60,67,22,29,0,3,10,7,32,9,1,69,77
10. 04.12.1999 47,42,51,28,25,81,34,41,8,60,86,38,65,55,63,79,9,87,95,98
11. 11.12.1999 16,54,53,93,46,87,79,24,14,83,34,58,74,8,94,78,51,71,64,35
12. 18.12.1999 89,81,37,16,56,63,5,21,22,49,20,36,39,32,65,10,88,28,52,43
13. 24.12.1999 75,84,0,79,32,42,76,58,2,47,59,82,3,66,91,6,35,56,68,88
14. 31.12.1999 83,36,85,43,3,52,30,59,97,76,13,11,29,4,37,40,86,55,81,18
15. 08.01.2000 14,12,13,54,92,38,26,31,5,48,4,29,73,97,15,22,19,41,65,94
16. 15.01.2000 91,57,59,49,94,1,45,51,73,16,13,46,48,63,10,12,78,11,22,29
17. 22.01.2000 98,39,38,29,43,78,19,97,92,79,1,37,47,30,96,59,13,31,22,61
18. 29.01.2000 92,34,69,85,16,97,47,46,0,60,79,96,59,91,70,78,5,40,32,76
19. 05.02.2000 67,31,86,8,53,82,94,36,21,0,25,13,11,77,98,33,48,10,18,99
20. 12.02.2000 84,72,59,90,97,30,75,26,42,55,31,93,71,65,61,60,70,43,51,20
21. 19.02.2000 71,54,67,38,59,16,89,2,92,77,45,75,7,73,26,99,97,29,41,8
22. 26.02.2000 13,94,0,5,37,56,84,85,93,11,38,29,41,23,33,42,49,95,45,79
23. 04.03.2000 77,4,41,53,28,17,40,19,99,24,26,18,32,78,60,64,37,25,89,31
24. 11.03.2000 95,42,13,66,48,46,51,75,43,49,32,1,11,50,23,94,41,45,59,86
25. 18.03.2000 98,48,85,5,21,73,95,49,64,46,45,94,88,47,59,31,19,82,93,92
26. 25.03.2000 33,81,42,51,66,78,19,92,13,88,53,15,3,5,27,4,30,48,32,49
27. 01.04.2000 3,56,86,84,31,58,59,32,61,6,21,91,82,75,16,71,98,19,39,1
28. 08.04.2000 85,37,96,5,89,64,24,67,68,49,54,33,73,65,57,60,45,44,56,41
29. 15.04.2000 84,11,42,96,5,29,9,27,86,87,61,68,78,69,85,1,2,53,74,93
30. 22.04.2000 79,33,0,15,60,5,61,23,97,40,29,34,42,43,71,24,36,49,22,72
31. 29.04.2000 15,7,52,94,24,64,73,35,14,10,53,44,0,68,48,8,1,79,13,43
32. 06.05.2000 5,20,29,49,12,83,23,28,41,80,79,42,95,67,94,66,92,39,76,17
33. 13.05.2000 49,13,82,93,14,52,34,11,6,23,90,76,60,28,71,56,39,86,33,12
34. 20.05.2000 66,45,77,82,61,24,23,28,51,20,19,89,44,54,9,58,2,14,79,12
35. 27.05.2000 23,48,85,47,88,12,11,42,99,67,22,4,14,49,28,54,53,8,36,60
36. 03.06.2000 71,56,58,5,16,17,85,86,65,50,88,76,78,57,43,69,51,55,9,89
37. 10.06.2000 44,43,74,73,99,1,20,3,82,97,98,50,9,55,17,35,38,21,52,6
38. 17.06.2000 56,4,58,55,30,35,66,36,57,2,11,20,83,99,12,53,61,49,23,98
39. 24.06.2000 84,24,17,26,33,57,78,70,72,2,0,5,38,30,81,52,44,9,11,18
40. 01.07.2000 55,74,7,5,62,9,77,57,80,41,83,16,90,67,51,8,99,86,43,25
41. 08.07.2000 98,50,37,33,47,4,86,64,26,82,29,58,11,9,71,77,22,41,52,65
42. 15.07.2000 12,18,48,74,75,29,35,41,83,64,3,80,86,89,67,73,99,21,20,47
43. 22.07.2000 17,54,93,31,96,32,8,94,18,39,30,53,75,77,86,90,58,84,6,19
44. 29.07.2000 78,15,40,28,32,87,36,52,44,72,23,38,80,18,54,0,81,77,8,99
45. 05.08.2000 3,33,74,80,18,70,90,24,1,30,67,69,37,68,42,57,14,41,86,0
46. 12.08.2000 5,2,98,97,28,50,93,94,24,12,78,25,63,45,0,9,81,32,31,41
47. 19.08.2000 7,21,18,95,80,75,10,78,31,96,50,11,92,42,89,97,82,70,34,39
48. 26.08.2000 34,64,15,14,37,13,56,0,30,5,98,9,68,47,45,35,88,18,74,70
49. 02.09.2000 29,45,50,85,86,55,21,80,61,81,79,40,44,62,37,95,83,97,88,31
50. 09.09.2000 34,20,26,24,73,68,6,54,8,40,28,0,27,71,30,66,82,39,43,42
51. 16.09.2000 41,21,1,53,10,83,3,98,16,89,51,82,40,46,60,75,63,47,57,4
52. 23.09.2000 85,50,81,9,53,26,89,87,31,18,65,37,80,45,73,99,69,6,1,13
53. 30.09.2000 56,8,28,42,82,18,12,41,10,34,86,49,59,32,62,95,21,50,39,6
54. 07.10.2000 97,88,23,98,6,87,45,22,18,43,56,40,17,38,74,94,15,53,91,86
55. 14.10.2000 97,37,5,4,96,26,44,49,40,99,50,89,54,3,64,63,32,74,67,73
56. 18.10.2000 82,74,88,92,47,56,28,60,30,24,12,16,91,31,8,35,36,17,80,63
57. 21.10.2000 41,67,98,58,85,79,64,44,9,78,93,83,73,97,50,5,28,2,95,25
58. 25.10.2000 8,80,92,23,25,22,78,85,48,95,16,19,13,74,90,11,51,61,56,66
59. 28.10.2000 27,81,92,63,14,83,35,96,7,89,45,76,56,53,52,94,20,91,16,30
60. 01.11.2000 60,76,4,41,88,12,14,42,22,17,87,93,45,40,26,67,68,43,47,2
61. 04.11.2000 64,60,84,70,68,6,0,53,40,74,88,27,26,61,30,14,35,34,55,51
62. 08.11.2000 33,32,66,43,44,31,27,19,20,14,24,62,49,61,9,81,36,41,25,23
63. 11.11.2000 82,52,78,24,74,91,92,41,54,47,69,1,99,36,65,48,57,33,3,18
64. 18.11.2000 6,54,38,21,93,66,5,9,69,47,16,37,85,98,84,68,29,51,11,3
65. 22.11.2000 98,83,72,23,79,7,69,14,8,58,21,39,18,1,27,45,31,86,11,92
66. 25.11.2000 16,54,76,92,62,99,38,4,66,36,23,88,14,94,33,17,57,78,44,26
67. 29.11.2000 14,64,46,62,9,18,76,7,50,25,49,91,26,89,85,3,36,98,94,75
68. 02.12.2000 82,8,28,88,3,46,78,94,32,54,71,6,23,5,24,25,45,22,57,53
69. 06.12.2000 55,0,95,45,94,15,72,34,76,24,69,73,98,58,86,30,29,14,1,83
70. 09.12.2000 17,44,89,66,90,80,38,94,81,12,46,30,83,41,91,13,0,39,47,33
71. 13.12.2000 39,30,66,69,24,81,90,61,94,59,44,53,73,36,63,46,55,50,27,11
72. 16.12.2000 74,93,0,35,31,25,16,11,39,52,68,70,87,64,47,90,45,8,9,20
73. 20.12.2000 81,39,50,94,69,18,91,92,73,11,71,99,83,59,41,98,93,74,14,30
74. 23.12.2000 13,48,53,99,11,96,57,71,92,17,42,28,40,24,49,87,41,61,46,43
75. 27.12.2000 98,64,87,78,15,73,37,85,1,95,94,76,48,26,59,57,11,27,38,39
76. 30.12.2000 0,22,61,80,96,31,30,7,67,48,29,56,10,55,68,50,6,52,86,18
77. 03.01.2001 56,98,38,83,31,85,80,28,0,2,89,16,41,76,5,7,32,27,91,49
78. 06.01.2001 83,87,94,72,71,86,33,29,84,41,24,81,21,46,7,53,45,36,63,67
79. 10.01.2001 30,20,51,85,15,26,86,9,87,37,7,2,67,43,47,77,4,3,55,38
80. 13.01.2001 0,91,20,50,88,22,6,17,41,86,42,81,55,93,30,77,98,36,12,95
81. 17.01.2001 16,83,92,39,23,97,67,14,65,74,68,87,30,63,86,94,52,43,47,33
82. 20.01.2001 64,14,48,42,79,6,53,62,69,52,22,21,85,1,93,90,59,47,49,88
83. 24.01.2001 30,83,71,13,45,44,37,40,76,74,51,11,65,4,85,50,79,0,61,43
